RAJ2000,recno,mobs,label,DEJ2000,nobs,Field,auid,e_DEJ2000,e_RAJ2000,band,mag,mag_err
273.641704,14537579,36,119,41.855157,4,20121948,000-BCS-520,0.2460000067949295,0.37299999594688416,V,11.861000061035156,0.041999999433755875
273.641704,14537579,36,119,41.855157,4,20121948,000-BCS-520,0.2460000067949295,0.37299999594688416,B,12.277000427246094,0.11599999666213989
273.641704,14537579,36,119,41.855157,4,20121948,000-BCS-520,0.2460000067949295,0.37299999594688416,SG,12.038999557495117,0.05299999937415123
273.641704,14537579,36,119,41.855157,4,20121948,000-BCS-520,0.2460000067949295,0.37299999594688416,SR,11.758999824523926,0.052000001072883606
273.641704,14537579,36,119,41.855157,4,20121948,000-BCS-520,0.2460000067949295,0.37299999594688416,SI,11.677000045776367,0.054999999701976776
273.657989,14537585,36,123,41.914956,4,20121948,000-BCS-524,0.49300000071525574,0.4690000116825104,V,12.173999786376953,0.06599999964237213
273.657989,14537585,36,123,41.914956,4,20121948,000-BCS-524,0.49300000071525574,0.4690000116825104,B,13.279999732971191,0.11400000005960464
273.657989,14537585,36,123,41.914956,4,20121948,000-BCS-524,0.49300000071525574,0.4690000116825104,SG,12.708000183105469,0.05900000035762787
273.657989,14537585,36,123,41.914956,4,20121948,000-BCS-524,0.49300000071525574,0.4690000116825104,SR,11.8100004196167,0.04500000178813934
273.657989,14537585,36,123,41.914956,4,20121948,000-BCS-524,0.49300000071525574,0.4690000116825104,SI,11.482999801635742,0.07400000095367432
273.720623,14537550,20,128,41.883431,4,20121948,000-BCS-531,0.3370000123977661,0.296999990940094,V,12.722999572753906,0.024000000208616257
273.720623,14537550,20,128,41.883431,4,20121948,000-BCS-531,0.3370000123977661,0.296999990940094,B,13.307999610900879,0.01899999938905239
273.720623,14537550,20,128,41.883431,4,20121948,000-BCS-531,0.3370000123977661,0.296999990940094,SG,12.97599983215332,0.01600000075995922
273.720623,14537550,20,128,41.883431,4,20121948,000-BCS-531,0.3370000123977661,0.296999990940094,SR,12.600000381469727,0.014000000432133675
273.720623,14537550,20,128,41.883431,4,20121948,000-BCS-531,0.3370000123977661,0.296999990940094,SI,12.472000122070312,0.0560000017285347
273.700302,14537545,24,131,41.823808,4,20121948,000-BCS-529,0.35600000619888306,0.3050000071525574,V,13.079999923706055,0.014999999664723873
273.700302,14537545,24,131,41.823808,4,20121948,000-BCS-529,0.35600000619888306,0.3050000071525574,B,13.54699993133545,0.013000000268220901
273.700302,14537545,24,131,41.823808,4,20121948,000-BCS-529,0.35600000619888306,0.3050000071525574,SG,13.23900032043457,0.05000000074505806
273.700302,14537545,24,131,41.823808,4,20121948,000-BCS-529,0.35600000619888306,0.3050000071525574,SR,12.982999801635742,0.03999999910593033
273.700302,14537545,24,131,41.823808,4,20121948,000-BCS-529,0.35600000619888306,0.3050000071525574,SI,12.881999969482422,0.04800000041723251
273.584119,14537565,36,133,41.821659,4,20121948,000-BCS-512,0.3529999852180481,0.27399998903274536,V,13.23799991607666,0.04399999976158142
273.584119,14537565,36,133,41.821659,4,20121948,000-BCS-512,0.3529999852180481,0.27399998903274536,B,14.192000389099121,0.10400000214576721
273.584119,14537565,36,133,41.821659,4,20121948,000-BCS-512,0.3529999852180481,0.27399998903274536,SG,13.694999694824219,0.05700000002980232
273.584119,14537565,36,133,41.821659,4,20121948,000-BCS-512,0.3529999852180481,0.27399998903274536,SR,12.947999954223633,0.04600000008940697
273.584119,14537565,36,133,41.821659,4,20121948,000-BCS-512,0.3529999852180481,0.27399998903274536,SI,12.704000473022461,0.0689999982714653
273.727649,14537609,20,134,41.900884,4,20121948,000-BCS-532,0.35199999809265137,0.2770000100135803,V,13.383999824523926,0.027000000700354576
273.727649,14537609,20,134,41.900884,4,20121948,000-BCS-532,0.35199999809265137,0.2770000100135803,B,13.968999862670898,0.027000000700354576
273.727649,14537609,20,134,41.900884,4,20121948,000-BCS-532,0.35199999809265137,0.2770000100135803,SG,13.633999824523926,0.017000000923871994
273.727649,14537609,20,134,41.900884,4,20121948,000-BCS-532,0.35199999809265137,0.2770000100135803,SR,13.270000457763672,0.008999999612569809
273.727649,14537609,20,134,41.900884,4,20121948,000-BCS-532,0.35199999809265137,0.2770000100135803,SI,13.145999908447266,0.03799999877810478
273.596664,14537591,33,135,41.901776,4,20121948,000-BCS-514,0.5230000019073486,0.4189999997615814,V,13.508999824523926,0.08500000089406967
273.596664,14537591,33,135,41.901776,4,20121948,000-BCS-514,0.5230000019073486,0.4189999997615814,B,13.833999633789062,0.12399999797344208
273.596664,14537591,33,135,41.901776,4,20121948,000-BCS-514,0.5230000019073486,0.4189999997615814,SG,13.612000465393066,0.0430000014603138
273.596664,14537591,33,135,41.901776,4,20121948,000-BCS-514,0.5230000019073486,0.4189999997615814,SR,13.342000007629395,0.052000001072883606
273.596664,14537591,33,135,41.901776,4,20121948,000-BCS-514,0.5230000019073486,0.4189999997615814,SI,13.269000053405762,0.05000000074505806
273.625689,14537560,36,139,41.844529,4,20121948,000-BCS-517,0.30799999833106995,0.4819999933242798,V,13.90999984741211,0.04800000041723251
273.625689,14537560,36,139,41.844529,4,20121948,000-BCS-517,0.30799999833106995,0.4819999933242798,B,14.52400016784668,0.11400000005960464
273.625689,14537560,36,139,41.844529,4,20121948,000-BCS-517,0.30799999833106995,0.4819999933242798,SG,14.194000244140625,0.05400000140070915
273.625689,14537560,36,139,41.844529,4,20121948,000-BCS-517,0.30799999833106995,0.4819999933242798,SR,13.739999771118164,0.057999998331069946
273.625689,14537560,36,139,41.844529,4,20121948,000-BCS-517,0.30799999833106995,0.4819999933242798,SI,13.600000381469727,0.06599999964237213
273.597347,14537589,34,151,41.887331,4,20121948,000-BCS-515,0.4519999921321869,0.5419999957084656,V,15.09000015258789,0.05700000002980232
273.597347,14537589,34,151,41.887331,4,20121948,000-BCS-515,0.4519999921321869,0.5419999957084656,B,15.505000114440918,0.08299999684095383
273.597347,14537589,34,151,41.887331,4,20121948,000-BCS-515,0.4519999921321869,0.5419999957084656,SG,15.244000434875488,0.05000000074505806
273.597347,14537589,34,151,41.887331,4,20121948,000-BCS-515,0.4519999921321869,0.5419999957084656,SR,14.956000328063965,0.05000000074505806
273.597347,14537589,34,151,41.887331,4,20121948,000-BCS-515,0.4519999921321869,0.5419999957084656,SI,14.885000228881836,0.125
273.553322,14537574,34,153,41.851459,4,20121948,000-BCS-510,0.46000000834465027,0.5410000085830688,V,15.329999923706055,0.039000000804662704
273.553322,14537574,34,153,41.851459,4,20121948,000-BCS-510,0.46000000834465027,0.5410000085830688,B,16.020999908447266,0.11699999868869781
273.553322,14537574,34,153,41.851459,4,20121948,000-BCS-510,0.46000000834465027,0.5410000085830688,SG,15.616000175476074,0.0689999982714653
273.553322,14537574,34,153,41.851459,4,20121948,000-BCS-510,0.46000000834465027,0.5410000085830688,SR,15.08899974822998,0.04100000113248825
273.553322,14537574,34,153,41.851459,4,20121948,000-BCS-510,0.46000000834465027,0.5410000085830688,SI,14.928999900817871,0.11500000208616257
